UUID,SDATE,CODE,NAME,CLASSIFY,OPEN,CLOSE,HIGH,LOW,VOLUME,AMOUNT,Y_CLOSE,P_CHANGE,P_CHANGE_RATE,TURNOVER,MARKETCAP,FAMC,ZBS
3f669cc8-a099-11e8-9ffe-56137984902b,2018/8/1,000001_SSE,上证指数,指数,2882.5061,2824.5337,2897.3997,2823.9293,149514348,151693000000.00 ,2876.4009,-51.8672,-1.8032,0,0,0,0
3f669cc9-a099-11e8-87a4-56137984902b,2018/7/31,000001_SSE,上证指数,指数,2866.8985,2876.4009,2884.6799,2854.3197,118931117,119529000000.00 ,2869.0495,7.3514,0.2562,0,0,0,0
3f669cca-a099-11e8-8f0f-56137984902b,2018/7/30,000001_SSE,上证指数,指数,2871.9397,2869.0495,2896.0109,2850.296,151652249,145989000000.00 ,2873.5938,-4.5443,-0.1581,0,0,0,0
3f669ccb-a099-11e8-a782-56137984902b,2018/7/27,000001_SSE,上证指数,指数,2879.6901,2873.5938,2889.6936,2864.1098,146371610,132419000000.00 ,2882.2254,-8.6316,-0.2995,0,0,0,0
3f669ccc-a099-11e8-baec-56137984902b,2018/7/26,000001_SSE,上证指数,指数,2905.7941,2882.2254,2915.2974,2875.7006,168428202,157497000000.00 ,2903.6467,-21.4213,-0.7377,0,0,0,0
3f669ccd-a099-11e8-95a9-56137984902b,2018/7/25,000001_SSE,上证指数,指数,2911.4529,2903.6467,2912.3134,2894.039,167800207,166412000000.00 ,2905.5618,-1.9151,-0.0659,0,0,0,0
3f669cce-a099-11e8-8754-56137984902b,2018/7/24,000001_SSE,上证指数,指数,2862.267,2905.5618,2911.4646,2862.267,229578307,228702000000.00 ,2859.5424,46.0194,1.6093,0,0,0,0
3f669ccf-a099-11e8-ba7e-56137984902b,2018/7/23,000001_SSE,上证指数,指数,2815.2008,2859.5424,2863.5711,2809.6163,173382797,186997000000.00 ,2829.2712,30.2712,1.0699,0,0,0,0
3f669cd0-a099-11e8-ba10-56137984902b,2018/7/20,000001_SSE,上证指数,指数,2769.7537,2829.2712,2837.8623,2753.8397,145907688,155661000000.00 ,2772.5454,56.7258,2.046,0,0,0,0
3f669cd1-a099-11e8-889e-56137984902b,2018/7/19,000001_SSE,上证指数,指数,2791.0156,2772.5454,2805.0106,2764.4858,114486493,129375000000.00 ,2787.257,-14.7116,-0.5278,0,0,0,0
