Date,Open,High,Low,Close,Adj Close,Volume
2015/12/31,5047.040039,5058.060059,5007.009766,5007.410156,5007.410156,1437480000
2016/1/4,4897.649902,4903.089844,4846.97998,4903.089844,4903.089844,2218420000
2016/1/5,4917.839844,4926.72998,4872.740234,4891.430176,4891.430176,1927380000
2016/1/6,4813.759766,4866.040039,4804.689941,4835.759766,4835.759766,2168620000
2016/1/7,4736.399902,4788.02002,4688.169922,4689.430176,4689.430176,2552590000
2016/1/8,4722.02002,4742.569824,4637.850098,4643.629883,4643.629883,2288750000
2016/1/11,4673.439941,4683.02002,4573.779785,4637.990234,4637.990234,2391110000
2016/1/12,4681.540039,4714.799805,4618.029785,4685.919922,4685.919922,2147470000
2016/1/13,4706.02002,4713.97998,4517.560059,4526.060059,4526.060059,2533200000
2016/1/14,4545.370117,4650.549805,4470.589844,4615,4615,2565560000
2016/1/15,4464.370117,4520.450195,4419.410156,4488.419922,4488.419922,2818630000
2016/1/19,4548.049805,4550.569824,4430.77002,4476.950195,4476.950195,2394550000
2016/1/20,4405.220215,4514.919922,4313.390137,4471.689941,4471.689941,3204130000
2016/1/21,4480.700195,4537.149902,4432.02002,4472.060059,4472.060059,2447750000
2016/1/22,4557.390137,4591.180176,4540.27002,4591.180176,4591.180176,2153340000
2016/1/25,4574.589844,4590.439941,4514.779785,4518.490234,4518.490234,2028880000
2016/1/26,4537.040039,4583.209961,4503.529785,4567.669922,4567.669922,1981180000
2016/1/27,4548.870117,4568.850098,4450.830078,4468.169922,4468.169922,2115710000
2016/1/28,4533.810059,4533.810059,4447.5,4506.680176,4506.680176,2322310000
2016/1/29,4512.089844,4613.950195,4511.299805,4613.950195,4613.950195,2617550000
2016/2/1,4587.589844,4636.930176,4565.370117,4620.370117,4620.370117,1983340000
2016/2/2,4588.689941,4589.899902,4503.120117,4516.950195,4516.950195,2185180000
2016/2/3,4543.819824,4547.319824,4424.470215,4504.240234,4504.240234,2466190000
2016/2/4,4492.47998,4545.52002,4463.990234,4509.560059,4509.560059,2200930000
2016/2/5,4491.47998,4493.189941,4350.370117,4363.140137,4363.140137,2489280000
2016/2/8,4288.02002,4301.529785,4212.810059,4283.75,4283.75,2702070000
2016/2/9,4224.870117,4329.609863,4222.47998,4268.759766,4268.759766,2465790000
2016/2/10,4318.279785,4369.620117,4280.72998,4283.589844,4283.589844,2448380000
2016/2/11,4218.810059,4293.220215,4209.759766,4266.839844,4266.839844,2812330000
2016/2/12,4307.290039,4340.129883,4274.149902,4337.509766,4337.509766,1983190000
2016/2/16,4397.950195,4435.959961,4376.52002,4435.959961,4435.959961,2117920000
2016/2/17,4471.660156,4540.779785,4463.509766,4534.060059,4534.060059,2296440000
2016/2/18,4548.100098,4548.470215,4482.77002,4487.540039,4487.540039,1955870000
2016/2/19,4464.669922,4513.149902,4455.100098,4504.430176,4504.430176,1903770000
2016/2/22,4548.310059,4576.470215,4546.549805,4570.609863,4570.609863,1794020000
2016/2/23,4550.049805,4558.060059,4500.939941,4503.580078,4503.580078,1777750000
2016/2/24,4453.930176,4547.640137,4425.720215,4542.609863,4542.609863,1978180000
2016/2/25,4554.72998,4582.200195,4516.890137,4582.200195,4582.200195,1667840000
2016/2/26,4615.140137,4618.850098,4580.779785,4590.470215,4590.470215,1814920000
2016/2/29,4585.299805,4619.899902,4557.459961,4557.950195,4557.950195,2065260000
2016/3/1,4596.009766,4689.600098,4581.75,4689.600098,4689.600098,2080150000
2016/3/2,4683.799805,4703.580078,4665.930176,4703.419922,4703.419922,1912510000
2016/3/3,4698.379883,4707.720215,4674.459961,4707.419922,4707.419922,1936290000
2016/3/4,4715.759766,4746.649902,4687.939941,4717.02002,4717.02002,2171230000
2016/3/7,4690.879883,4731.189941,4674.819824,4708.25,4708.25,2084390000
2016/3/8,4676.220215,4695.040039,4642.859863,4648.819824,4648.819824,1993060000
2016/3/9,4666.419922,4676.470215,4642.419922,4674.379883,4674.379883,1789550000
2016/3/10,4691.200195,4716.140137,4607.990234,4662.160156,4662.160156,1936470000
2016/3/11,4712.379883,4748.790039,4700.910156,4748.470215,4748.470215,1801790000
2016/3/14,4733.390137,4762.27002,4731.509766,4750.279785,4750.279785,1615100000
2016/3/15,4731.140137,4735.27002,4712.069824,4728.669922,4728.669922,1692420000
2016/3/16,4717.879883,4774.779785,4716.450195,4763.970215,4763.970215,1781060000
2016/3/17,4752.620117,4788.089844,4737.970215,4774.990234,4774.990234,1907190000
2016/3/18,4784.629883,4804.580078,4772.410156,4795.649902,4795.649902,2829040000
2016/3/21,4787.310059,4814.850098,4785.379883,4808.870117,4808.870117,1609230000
2016/3/22,4783.600098,4835.600098,4781.709961,4821.660156,4821.660156,1596200000
2016/3/23,4813.870117,4816.669922,4765.370117,4768.859863,4768.859863,1732630000
2016/3/24,4743.359863,4773.5,4734.77002,4773.5,4773.5,1590990000
2016/3/28,4785.25,4787.390137,4760.009766,4766.790039,4766.790039,1381000000
