date,per_10000,7_day_year
2018/6/5,1.0986,0.0411 
2018/6/4,1.0898,0.0411 
2018/6/3,1.0956,0.0412 
2018/6/2,1.0957,0.0413 
2018/6/1,1.0959,0.0414 
2018/5/31,1.1433,0.0414 
2018/5/30,1.1126,0.0413 
2018/5/29,1.099,0.0413 
2018/5/28,1.1074,0.0416 
2018/5/27,1.1043,0.0416 
2018/5/26,1.109,0.0415 
2018/5/25,1.11,0.0415 
2018/5/24,1.1118,0.0417 
2018/5/23,1.1238,0.0416 
2018/5/22,1.1452,0.0415 
2018/5/21,1.1063,0.0413 
2018/5/20,1.0976,0.0413 
2018/5/19,1.0977,0.0414 
2018/5/18,1.146,0.0415 
2018/5/17,1.1019,0.0413 
2018/5/16,1.1066,0.0414 
2018/5/15,1.106,0.0414 
2018/5/14,1.1104,0.0414 
2018/5/13,1.1145,0.0414 
2018/5/12,1.1145,0.0413 
2018/5/11,1.1153,0.0413 
2018/5/10,1.1066,0.0414 
2018/5/9,1.1078,0.0414 
2018/5/8,1.109,0.0415 
2018/5/7,1.1067,0.0416 
2018/5/6,1.1066,0.0417 
2018/5/5,1.1067,0.0418 
2018/5/4,1.1323,0.0420 
2018/5/3,1.1022,0.0419 
2018/5/2,1.1336,0.0421 
2018/5/1,1.1284,0.0421 
2018/4/30,1.1284,0.0422 
2018/4/29,1.1284,0.0423 
2018/4/28,1.1285,0.0422 
2018/4/27,1.1285,0.0422 
2018/4/26,1.1317,0.0428 
2018/4/25,1.1265,0.0429 
2018/4/24,1.1466,0.0435 
2018/4/23,1.1522,0.0437 
2018/4/22,1.1199,0.0435 
2018/4/21,1.1223,0.0436 
2018/4/20,1.2348,0.0436 
2018/4/19,1.1541,0.0430 
2018/4/18,1.2276,0.0429 
2018/4/17,1.1851,0.0424 
2018/4/16,1.1303,0.0421 
2018/4/15,1.1269,0.0421 
2018/4/14,1.1269,0.0420 
2018/4/13,1.1279,0.0420 
2018/4/12,1.1302,0.0419 
2018/4/11,1.1346,0.0418 
2018/4/10,1.1312,0.0417 
2018/4/9,1.1325,0.0418 
2018/4/8,1.1132,0.0423 
2018/4/7,1.1132,0.0427 
2018/4/6,1.1132,0.0431 
2018/4/5,1.1133,0.0441 
2018/4/4,1.1186,0.0452 
2018/4/3,1.157,0.0454 
2018/4/2,1.2151,0.0455 
2018/4/1,1.1918,0.0451 
2018/3/31,1.1918,0.0449 
2018/3/30,1.2851,0.0447 
2018/3/29,1.312,0.0441 
2018/3/28,1.1691,0.0432 
2018/3/27,1.1636,0.0433 
2018/3/26,1.1544,0.0433 
2018/3/25,1.1544,0.0437 
2018/3/24,1.1544,0.0438 
2018/3/23,1.161,0.0439 
2018/3/22,1.1613,0.0441 
2018/3/21,1.1716,0.0443 
2018/3/20,1.1717,0.0445 
2018/3/19,1.2242,0.0446 
2018/3/18,1.1785,0.0444 
2018/3/17,1.1786,0.0444 
2018/3/16,1.1847,0.0444 
2018/3/15,1.2125,0.0444 
2018/3/14,1.1968,0.0444 
2018/3/13,1.1888,0.0443 
2018/3/12,1.1825,0.0441 
2018/3/11,1.1836,0.0441 
2018/3/10,1.1837,0.0441 
2018/3/9,1.1866,0.0440 
2018/3/8,1.2009,0.0440 
2018/3/7,1.1897,0.0441 
2018/3/6,1.158,0.0441 
2018/3/5,1.1767,0.0443 
2018/3/4,1.175,0.0444 
2018/3/3,1.175,0.0445 
2018/3/2,1.1824,0.0445 
2018/3/1,1.2104,0.0446 
2018/2/28,1.2056,0.0446 
2018/2/27,1.1851,0.0444 
2018/2/26,1.1992,0.0443 
2018/2/25,1.1855,0.0442 
2018/2/24,1.1856,0.0441 
2018/2/23,1.19,0.0441 
2018/2/22,1.208,0.0440 
2018/2/21,1.174,0.0438 
2018/2/20,1.1741,0.0438 
2018/2/19,1.1741,0.0438 
2018/2/18,1.1742,0.0441 
2018/2/17,1.1742,0.0442 
2018/2/16,1.1743,0.0444 
2018/2/15,1.1744,0.0446 
2018/2/14,1.1787,0.0448 
2018/2/13,1.1749,0.0450 
2018/2/12,1.2274,0.0451 
2018/2/11,1.1961,0.0450 
2018/2/10,1.1961,0.0450 
2018/2/9,1.2133,0.0451 
2018/2/8,1.2173,0.0450 
2018/2/7,1.2094,0.0452 
2018/2/6,1.1995,0.0454 
2018/2/5,1.2093,0.0456 
2018/2/4,1.2016,0.0457 
2018/2/3,1.2016,0.0459 
2018/2/2,1.2098,0.0462 
2018/2/1,1.2522,0.0463 
2018/1/31,1.2391,0.0463 
2018/1/30,1.2293,0.0462 
2018/1/29,1.2355,0.0461 
2018/1/28,1.2435,0.0461 
2018/1/27,1.2436,0.0459 
2018/1/26,1.2439,0.0457 
2018/1/25,1.2447,0.0456 
2018/1/24,1.2267,0.0454 
2018/1/23,1.2123,0.0454 
2018/1/22,1.2221,0.0454 
2018/1/21,1.2141,0.0454 
2018/1/20,1.2142,0.0454 
2018/1/19,1.2141,0.0454 
2018/1/18,1.2065,0.0454 
2018/1/17,1.2364,0.0456 
2018/1/16,1.2056,0.0456 
2018/1/15,1.2182,0.0458 
2018/1/14,1.2137,0.0461 
2018/1/13,1.2138,0.0459 
2018/1/12,1.2158,0.0457 
2018/1/11,1.2467,0.0456 
2018/1/10,1.2284,0.0452 
2018/1/9,1.2498,0.0447 
2018/1/8,1.2716,0.0442 
2018/1/7,1.1766,0.0434 
2018/1/6,1.1766,0.0431 
2018/1/5,1.1947,0.0428 
2018/1/4,1.1876,0.0423 
2018/1/3,1.1375,0.0421 
2018/1/2,1.1447,0.0421 
2018/1/1,3.3643,0.0423 
