date,per_10000,7_day_year
2018/8/31,0.9407,0.0358 
2018/8/30,0.9494,0.0359 
2018/8/29,1.0033,0.0360 
2018/8/28,0.9878,0.0358 
2018/8/27,0.9613,0.0357 
2018/8/26,0.9491,0.0359 
2018/8/25,0.9493,0.0360 
2018/8/24,0.958,0.0362 
2018/8/23,0.9671,0.0364 
2018/8/22,0.976,0.0365 
2018/8/21,0.9704,0.0366 
2018/8/20,0.9855,0.0367 
2018/8/19,0.9838,0.0368 
2018/8/18,0.9838,0.0369 
2018/8/17,0.9842,0.0370 
2018/8/16,0.9924,0.0371 
2018/8/15,0.9933,0.0371 
2018/8/14,0.9928,0.0373 
2018/8/13,0.9984,0.0374 
2018/8/12,1.0011,0.0374 
2018/8/11,1.0011,0.0375 
2018/8/10,1.0017,0.0376 
2018/8/9,1.0053,0.0377 
2018/8/8,1.0161,0.0378 
2018/8/7,1.0099,0.0378 
2018/8/6,1.0121,0.0379 
2018/8/5,1.0179,0.0380 
2018/8/4,1.0179,0.0380 
2018/8/3,1.0189,0.0380 
2018/8/2,1.0196,0.0380 
2018/8/1,1.0275,0.0381 
2018/7/31,1.0263,0.0381 
2018/7/30,1.0206,0.0381 
2018/7/29,1.0199,0.0381 
2018/7/28,1.0199,0.0381 
2018/7/27,1.0203,0.0381 
2018/7/26,1.0417,0.0381 
2018/7/25,1.0228,0.0383 
2018/7/24,1.0211,0.0385 
2018/7/23,1.0194,0.0390 
2018/7/22,1.0228,0.0392 
2018/7/21,1.0228,0.0393 
2018/7/20,1.0245,0.0394 
2018/7/19,1.0724,0.0395 
2018/7/18,1.0587,0.0393 
2018/7/17,1.1247,0.0392 
2018/7/16,1.0404,0.0388 
2018/7/15,1.0422,0.0388 
2018/7/14,1.0422,0.0389 
2018/7/13,1.043,0.0389 
2018/7/12,1.0442,0.0390 
2018/7/11,1.0377,0.0391 
2018/7/10,1.0454,0.0394 
2018/7/9,1.0511,0.0396 
2018/7/8,1.0489,0.0398 
2018/7/7,1.0571,0.0400 
2018/7/6,1.058,0.0401 
2018/7/5,1.0504,0.0402 
2018/7/4,1.0918,0.0402 
2018/7/3,1.0842,0.0400 
2018/7/2,1.0945,0.0400 
2018/7/1,1.0826,0.0398 
2018/6/30,1.0826,0.0397 
2018/6/29,1.0795,0.0396 
2018/6/28,1.0394,0.0395 
2018/6/27,1.0567,0.0396 
2018/6/26,1.0915,0.0397 
2018/6/25,1.0554,0.0395 
2018/6/24,1.0605,0.0397 
2018/6/23,1.0605,0.0398 
2018/6/22,1.0613,0.0399 
2018/6/21,1.0628,0.0400 
2018/6/20,1.0698,0.0402 
2018/6/19,1.0671,0.0403 
2018/6/18,1.0821,0.0405 
2018/6/17,1.0822,0.0406 
2018/6/16,1.0822,0.0407 
2018/6/15,1.0801,0.0409 
2018/6/14,1.0912,0.0415 
2018/6/13,1.099,0.0415 
2018/6/12,1.1037,0.0414 
2018/6/11,1.1003,0.0414 
2018/6/10,1.1022,0.0413 
2018/6/9,1.1023,0.0413 
2018/6/8,1.197,0.0412 
2018/6/7,1.0868,0.0407 
2018/6/6,1.0852,0.0410 
