date,per_10000,7_day_year
2018/8/31,0.8278,0.0323 
2018/8/30,0.8543,0.0324 
2018/8/29,0.9016,0.0324 
2018/8/28,0.8112,0.0324 
2018/8/27,0.8868,0.0324 
2018/8/26,1.8108,0.0326 
2018/8/24,0.8437,0.0327 
2018/8/23,0.8613,0.0327 
2018/8/22,0.903,0.0329 
2018/8/21,0.8128,0.0331 
2018/8/20,0.9122,0.0331 
2018/8/19,1.8284,0.0330 
2018/8/17,0.8571,0.0335 
2018/8/16,0.901,0.0335 
2018/8/15,0.9282,0.0339 
2018/8/14,0.8164,0.0338 
2018/8/13,0.8988,0.0341 
2018/8/12,1.9136,0.0337 
2018/8/10,0.8522,0.0341 
2018/8/9,0.9829,0.0341 
2018/8/8,0.9148,0.0341 
2018/8/7,0.8605,0.0343 
2018/8/6,0.8284,0.0347 
2018/8/5,1.9848,0.0353 
2018/8/3,0.8547,0.0349 
2018/8/2,0.981,0.0355 
2018/8/1,0.9541,0.0354 
2018/7/31,0.9332,0.0356 
2018/7/30,0.9432,0.0359 
2018/7/29,1.9113,0.0361 
2018/7/27,0.9608,0.0364 
2018/7/26,0.9721,0.0366 
2018/7/25,0.9921,0.0367 
2018/7/24,0.9877,0.0366 
2018/7/23,0.9711,0.0365 
2018/7/22,1.9686,0.0365 
2018/7/20,0.9981,0.0362 
2018/7/19,0.9859,0.0360 
2018/7/18,0.9798,0.0364 
2018/7/17,0.9636,0.0358 
2018/7/16,0.9802,0.0361 
2018/7/15,1.918,0.0364 
2018/7/13,0.963,0.0376 
2018/7/12,1.0602,0.0382 
2018/7/11,0.8629,0.0381 
2018/7/10,1.0214,0.0377 
2018/7/9,1.0269,0.0380 
2018/7/8,2.1404,0.0383 
2018/7/6,1.0693,0.0382 
2018/7/5,1.0522,0.0380 
2018/7/4,0.783,0.0383 
2018/7/3,1.0749,0.0395 
2018/7/2,1.0966,0.0407 
2018/7/1,1.0563,0.0402 
2018/6/30,1.0564,0.0400 
2018/6/29,1.0367,0.0398 
2018/6/28,1.1093,0.0397 
2018/6/27,1.0007,0.0393 
2018/6/26,1.2858,0.0395 
2018/6/25,1.0071,0.0383 
2018/6/24,2.0375,0.0387 
2018/6/22,1.019,0.0393 
2018/6/21,1.0493,0.0395 
2018/6/20,1.0394,0.0397 
2018/6/19,1.0614,0.0400 
2018/6/18,3.2246,0.0401 
2018/6/15,1.058,0.0405 
2018/6/14,1.078,0.0408 
2018/6/13,1.0998,0.0409 
2018/6/12,1.085,0.0408 
2018/6/11,1.0984,0.0408 
2018/6/10,2.2032,0.0408 
2018/6/8,1.1023,0.0408 
2018/6/7,1.0917,0.0408 
2018/6/6,1.0819,0.0408 
2018/6/5,1.0905,0.0409 
2018/6/4,1.0991,0.0411 
2018/6/3,2.2025,0.0413 
2018/6/1,1.0981,0.0412 
2018/5/31,1.0906,0.0412 
2018/5/30,1.1048,0.0413 
2018/5/29,1.1314,0.0412 
2018/5/28,1.1333,0.0411 
2018/5/27,2.1813,0.0409 
2018/5/25,1.1008,0.0409 
2018/5/24,1.1013,0.0409 
2018/5/23,1.0875,0.0408 
2018/5/22,1.1256,0.0409 
2018/5/21,1.0887,0.0408 
2018/5/20,2.1849,0.0409 
2018/5/18,1.0932,0.0409 
2018/5/17,1.0906,0.0409 
2018/5/16,1.1016,0.0410 
2018/5/15,1.101,0.0409 
2018/5/14,1.1155,0.0410 
2018/5/13,2.1837,0.0410 
2018/5/11,1.0947,0.0414 
2018/5/10,1.1044,0.0416 
2018/5/9,1.0949,0.0418 
2018/5/8,1.108,0.0424 
2018/5/7,1.1224,0.0424 
2018/5/6,2.2542,0.0423 
2018/5/4,1.1294,0.0422 
2018/5/3,1.1444,0.0420 
2018/5/2,1.1966,0.0418 
2018/5/1,4.4547,0.0412 
2018/4/27,1.0901,0.0412 
2018/4/26,1.1032,0.0413 
2018/4/25,1.0989,0.0412 
2018/4/24,1.1226,0.0414 
2018/4/23,1.1263,0.0415 
2018/4/22,2.1994,0.0416 
2018/4/20,1.1099,0.0422 
2018/4/19,1.0923,0.0424 
2018/4/18,1.128,0.0427 
2018/4/17,1.1375,0.0430 
2018/4/16,1.1484,0.0421 
2018/4/15,2.3022,0.0423 
2018/4/13,1.1526,0.0421 
2018/4/12,1.1588,0.0420 
2018/4/11,1.169,0.0419 
2018/4/10,0.9719,0.0417 
2018/4/9,1.1945,0.0429 
2018/4/8,4.5304,0.0412 
2018/4/4,1.1426,0.0459 
2018/4/3,1.184,0.0461 
2018/4/2,0.8942,0.0461 
2018/4/1,2.3188,0.0477 
2018/3/30,1.9406,0.0479 
2018/3/29,1.1328,0.0438 
2018/3/28,1.1649,0.0441 
2018/3/27,1.1944,0.0442 
2018/3/26,1.1826,0.0442 
2018/3/25,2.363,0.0444 
2018/3/23,1.1863,0.0441 
2018/3/22,1.1869,0.0440 
2018/3/21,1.1749,0.0438 
2018/3/20,1.2061,0.0439 
2018/3/19,1.2104,0.0438 
2018/3/18,2.3133,0.0436 
2018/3/16,1.1588,0.0434 
2018/3/15,1.1655,0.0434 
2018/3/14,1.1769,0.0443 
2018/3/13,1.192,0.0441 
2018/3/12,1.1861,0.0439 
2018/3/11,2.2772,0.0439 
2018/3/9,1.1517,0.0444 
2018/3/8,1.3368,0.0447 
2018/3/7,1.1397,0.0440 
2018/3/6,1.1505,0.0441 
2018/3/5,1.1753,0.0441 
2018/3/4,2.3794,0.0440 
2018/3/2,1.1959,0.0438 
2018/3/1,1.2177,0.0438 
2018/2/28,1.1525,0.0437 
2018/2/27,1.1565,0.0439 
2018/2/26,1.1579,0.0441 
2018/2/25,2.3482,0.0443 
2018/2/23,1.1857,0.0446 
2018/2/22,1.1984,0.0446 
2018/2/21,8.3727,0.0446 
2018/2/14,1.1973,0.0441 
2018/2/13,1.2003,0.0441 
2018/2/12,1.1834,0.0441 
2018/2/11,2.345,0.0443 
2018/2/9,1.1753,0.0449 
2018/2/8,1.1784,0.0452 
2018/2/7,1.1971,0.0455 
2018/2/6,1.1962,0.0456 
2018/2/5,1.2229,0.0456 
2018/2/4,2.4491,0.0454 
2018/2/2,1.2309,0.0448 
2018/2/1,1.2401,0.0445 
